"Column Name","Label"
"DP04_0046E","Estimate!!HOUSING TENURE!!Occupied housing units!!Owner-occupied"
"DP04_0046M","Margin of Error!!HOUSING TENURE!!Occupied housing units!!Owner-occupied"
"DP04_0046MA","Annotation of Margin of Error!!HOUSING TENURE!!Occupied housing units!!Owner-occupied"
"DP04_0046EA","Annotation of Estimate!!HOUSING TENURE!!Occupied housing units!!Owner-occupied"
"DP04_0047E","Estimate!!HOUSING TENURE!!Occupied housing units!!Renter-occupied"
"DP04_0047M","Margin of Error!!HOUSING TENURE!!Occupied housing units!!Renter-occupied"
"DP04_0047MA","Annotation of Margin of Error!!HOUSING TENURE!!Occupied housing units!!Renter-occupied"
"DP04_0047EA","Annotation of Estimate!!HOUSING TENURE!!Occupied housing units!!Renter-occupied"
"DP04_0048E","Estimate!!HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit"
"DP04_0048M","Margin of Error!!HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit"
"DP04_0048MA","Annotation of Margin of Error!!HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit"
"DP04_0048EA","Annotation of Estimate!!HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit"
"DP04_0049E","Estimate!!HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit"
"DP04_0049M","Margin of Error!!HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit"
"DP04_0049MA","Annotation of Margin of Error!!HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit"
"DP04_0049EA","Annotation of Estimate!!HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit"
"DP04_0050E","Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units"
"DP04_0050M","Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units"
"DP04_0050MA","Annotation of Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units"
"DP04_0050EA","Annotation of Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units"
"DP04_0051E","Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2019 or later"
"DP04_0051EA","Annotation of Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2019 or later"
"DP04_0051M","Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2019 or later"
"DP04_0051MA","Annotation of Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2019 or later"
"DP04_0052E","Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2015 to 2018"
"DP04_0052M","Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2015 to 2018"
"DP04_0052MA","Annotation of Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2015 to 2018"
"DP04_0052EA","Annotation of Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2015 to 2018"
"DP04_0053E","Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2014"
"DP04_0053M","Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2014"
"DP04_0053MA","Annotation of Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2014"
"DP04_0053EA","Annotation of Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2014"
"DP04_0054E","Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009"
"DP04_0054M","Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009"
"DP04_0054MA","Annotation of Margin of Error!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009"
